Code,Name
WKP,Workspace Group
FSV,Fidelity Special Values
BBGI,Bilfinger Berger Global Infrastructure SICAV SA
KWS,Keywords Studios
SUPR,Supermarket Income Reit
JDW,Wetherspoon (JD)
MUT,Murray Income Trust
NFG,Next 15 Group
CRN,Cairn Homes
SAIN,Scottish American Investment Co
BPCP,BioPharma Credit
ONT,Oxford Nanopore Technologies
JHD,James Halstead
ALPH,Alpha Group International
WOSG,Watches Of Switzerland Group
UKCM,UK Commercial Property Reit Ltd
APEO,Abrdn Private Equity Opportunities Trust
REDD,Redde Northgate
MGAM,Morgan Advanced Materials
THG,THG
OCI,Oakley Capital Investments Ltd
ELM,Elementis
DAL,Dalata Hotel Group Ltd
HFG,Hilton Food Group
MRCH,Merchants Trust
SYNC,Syncona Ltd
GSCT,Global Smaller Companies Trust
FAN,Volution Group
ICGT,ICG Enterprise Trust
TRST,Trustpilot Group
CRE,Conduit Holdings Ltd
CRW,Craneware
KLR,Keller Group
HOC,Hochschild Mining
TFIF,TwentyFour Income Fund Ltd
AWE,Alphawave IP Group
TYMN,Tyman
NBPE,NB Private Equity Partners Ltd
TIFS,TI Fluid Systems
SQZ,Serica Energy
GBG,GB Group
SDP,Schroder AsiaPacific Fund
WIN,Wincanton
RNWH,Renew Holdings
JFJ,JPMorgan Japanese Investment Trust
TGA,Thungela Resources Ltd
TMPL,Temple Bar Investment Trust
FUTR,Future
ICGC,Irish Continental Group
SRC,SigmaRoc
VOF,VinaCapital Vietnam Opportunity Fund Ltd
JDG,Judges Scientific
CMCX,CMC Markets
DOCS,Dr. Martens
CURY,Currys
CBG,Close Brothers Group
JEDT,JPMorgan European Discovery Trust
APAX,APAX Global Alpha Ltd
BAKK,Bakkavor Group
ESCT,The European Smaller Companies Trust
DSCV,Discoverie Group
CVSG,CVS Group
SNR,Senior
ADT1,Adriatic Metals
JII,JPMorgan Indian Investment Trust
MSLH,Marshalls
BBH,Bellevue Healthcare Trust
BRSC,BlackRock Smaller Companies Trust
CCR,C&C Group
SEIT,SDCL Energy Efficiency Income Trust
BGFD,Baillie Gifford Japan Trust
SOI,Schroder Oriental Income Fund Ltd
GCP,GCP Infrastructure Investments Ltd
MEGP,Me Group International
ATG,Auction Technology Group
PPH,PPHE Hotel Group Ltd
PEYS,Princess Private Equity Holding Ltd
BRGE,BlackRock Greater Europe Investment Trust
BAG,Barr (AG)
BSIF,Bluefield Solar Income Fund Ltd
UPR,Uniphar
GNC,Greencore Group
MOON,Moonpig Group
JLEN,JLEN Environmental Assets Group Ltd
AO,AO World
AT,Ashtead Technology Holdings
IBST,Ibstock
LTG,Learning Technologies Group
RWS,RWS Holdings
USA,Baillie Gifford US Growth Trust
ATYM,Atalaya Mining
IPX,IMPAX Asset Management Group
EGY,VAALCO Energy Inc
VLX,Volex Group
HSL,Henderson Smaller Companies Investment Trust
EOT,European Opportunities Trust
DGN,Asia Dragon Trust
HTG,Hunting
PRTC,Puretech Health
KIE,Kier Group
BOWL,Hollywood Bowl Group
STEM,SThree
PHI,Pacific Horizon Investment Trust
TKO,Taseko Mines Ltd
BCPT,Balanced Commercial Property Trust Ltd
THRG,Blackrock Throgmorton Trust
BUT,Brunner Investment Trust
CGEO,Georgia Capital
BOKU,Boku Inc
ESP,Empiric Student Property
YNGN,Young & Co's Brewery
YNGA,Young & Co's Brewery
EWI,Edinburgh Worldwide Investment Trust
JSG,Johnson Service Group
POLR,Polar Capital Holdings
FSG,Foresight Group Holdings Ltd
XPS,XPS Pensions Group
DEC,Diversified Energy Company
MAB1,Mortgage Advice Bureau Holdings Ltd
NAS,North Atlantic Smaller Companies Inv Trust
FEML,Fidelity Emerging Markets Ltd
PCFT,Polar Capital Global Financials Trust
TLW,Tullow Oil
FSFL,Foresight Solar Fund Ltd
IPO,IP Group
GDWN,Goodwin
CORD,Cordiant Digital Infrastructure Ltd
ESNT,Essentra
MRL,Marlowe
CRST,Crest Nicholson Holdings Ltd
OCN,Ocean Wilson Holdings
ALFA,Alfa Financial Software Holdings
THRL,Target Healthcare REIT Ltd
CHRY,Chrysalis Investment Ltd
RSG,Resolute Mining Ltd
TFW,Thorpe (F W)
CGI,Canadian General Investments Ltd
PAF,Pan African Resources
BIG,Big Technologies
RWI,Renewi
BMY,Bloomsbury Publishing
MPE,M.P. Evans Group
WPS,W.A.G Payment Solutions
JEGI,JPMorgan European Growth & Income
PCGH,Polar Capital Global Healthcare Trust
LIO,Liontrust Asset Management
NESF,NextEnergy Solar Fund Ltd
PRSR,PRS REIT
MIDW,Midwich Group
POLN,Pollen Street Group
BOO,Boohoo Group
PAC,Pacific Assets Trust
UEM,Utilico Emerging Markets Trust
CER,Cerillion
PTAL,PetroTal Corp
SBRE,Sabre Insurance Group
SHED,Urban Logistics REIT
ASC,ASOS
JUGI,JPMorgan UK Small Cap Growth & Income
HWG,Harworth Group
ABDP,AB Dynamics
SYNT,Synthomer
ATR,Schroder Asian Total Return Investment Company
GROW,Molten Ventures
AMS,Advanced Medical Solutions Group
AAS,Abrdn Asia Focus
DIG,Dunedin Income Growth Inv Trust
MTW,Mattioli Woods
EBOX,Tritax Eurobox
MWY,Mid Wynd International Inv Trust
RTWG,RTW Venture Fund Ltd
PZC,PZ Cussons
JCH,JPMorgan Claverhouse Investment Trust
NCC,NCC Group
ORIT,Octopus Renewables Infrastructure Trust
NAIT,North American Income Trust
TM17,Team17 Group
AFM,Alpha Financial Markets Consulting
JUP,Jupiter Fund Management
HEFT,Henderson European Focus Trust
PAY,PayPoint
WIX,Wickes Group
JEMI,JPMorgan Global Emerging Markets Income Trust
CSN,Chesnara
HFEL,Henderson Far East Income Ltd
ANII,abrdn New India Investment Trust
MTVW,Mountview Estates
LSC,London Security
FRAN,Franchise Brands
AVON,Avon Protection
FAS,Fidelity Asian Values
888,888 Holdings
PINT,Pantheon Infrastructure
NICL,Nichols
OAP3,Octopus Apollo VCT 3
W7L,Warpaint London
CABP,Cab Payments Holdings
LOK,Lok'nStore Group
FDM,FDM Group Holdings
AIE,Ashoka India Equity Investment Trust
CARD,Card Factory
AUSC,Abrdn UK Smaller Companies Growth Trust
BGS,Baillie Gifford Shin Nippon
IHR,Impact Healthcare REIT
PCTN,Picton Property Income Ltd
FDP,FD Technologies
CAML,Central Asia Metals
TAM,Tatton Asset Management
TIG,Team Internet Group
AAIF,Abrdn Asian Income Fund Ltd
BGEU,Baillie Gifford European Growth Trust
FORT,Forterra
SAVE,Savannah Energy
MCG,Mobico Group
BMK,Benchmark Holdings
CREI,Custodian Reit
HFD,Halfords Group
WHR,Warehouse REIT
MXCT,Maxcyte Inc
CTPE,Ct Private Equity Trust
CLI,CLS Holdings
RNK,Rank Group
LWI,Lowland Investment Co
CTUK,Ct UK Capital And Income Investment Trust
SHI,SIG
MER,Mears Group
NEXN,Nexxen International Ltd
BIOG,Biotech Growth Trust
HNE,Henderson EuroTrust
SFOR,S4 Capital
YU,Yu Group
HINT,Henderson International Income Trust
BIPS,Invesco Bond Income Plus Ltd
WIL,Wilmington
SST,Scottish Oriental Smaller Companies Trust
NAVF,Nippon Active Value Fund
ITM,ITM Power
PANR,Pantheon Resources
FXPO,Ferrexpo
EAT,European Assets Trust NV
CHRT,Cohort
GSF,Gore Street Energy Storage Fund
FRP,FRP Advisory Group
JAGI,JPMorgan Asia Growth & Income
RST,Restore
HOME,Home Reit
GGP,Greatland Gold
SJG,Schroder Japan Growth Fund
ENQ,EnQuest
BOOK,Literacy Capital
DOTD,Dotdigital Group
STS,STS Global Income & Growth Trust
TTG,TT Electronics
TET,Treatt
KMR,Kenmare Resources
GLE,MJ Gleeson
FNTL,Fintel
AEP,Anglo-Eastern Plantations
RCDO,Ricardo
SWEF,Starwood European Real Estate Finance Ltd
PRV,Porvair
GABI,GCP Asset Backed Income Fund Ltd
BRK,Brooks Macdonald Group
GSEO,VH Global Sustainable Energy Opportunities
PBEE,Pensionbee Group
IDOX,IDOX
NCYF,CQS New City High Yield Fund Ltd
NIOX,Niox Group
DIVI,Diverse Income Trust
CWR,Ceres Power Holdings
BRFI,Blackrock Frontiers Investment Trust
RWA,Robert Walters
LSL,LSL Property Services
PINE,Pinewood Technologies Group
HHI,Henderson High Income Trust
SOLG,SolGold
ELIX,Elixirr International
GRID,Gresham House Energy Storage Fund
IQE,IQE
RECI,Real Estate Credit Investment PCC Ltd
DFS,DFS Furniture
VID,Videndum
LUCE,Luceco
IIG,Intuitive Investments Group
OTB,On The Beach Group
MNP,Martin Currie Global Portfolio Trust
GFM,Griffin Mining Ltd
MTE,Montanaro European Smaller Companies Trust
CCJI,CC Japan Income & Growth Trust
VCP,Victoria
AMRQ,Amaroq Minerals Ltd
TRCS,Tracsis
GFRD,Galliford Try Holdings
VP,Vp
ACSO,Accesso Technology Group
GKP,Gulf Keystone Petroleum Ltd
VIC,Victorian Plumbing Group
ASLI,Abrdn European Logistics Income
IQG,IQGEO Group
HLCL,Helical
RSE,Riverstone Energy Ltd
CGL,Castelnau Group Ltd
KITW,Kitwave Group
XPP,XP Power Ltd
BOOT,Boot (Henry)
JUSC,JPMorgan US Smaller Companies IT
SOHO,Triple Point Social Housing REIT
FNX,Fonix Mobile
MNL,Manchester & London Investment Trust
EQLS,Equals Group
IBT,International Biotechnology Trust
BGUK,Baillie Gifford UK Growth Fund
ASY,Andrews Sykes Group
GENL,Genel Energy
GMS,Gulf Marine Services
NRR,NewRiver REIT
LTHM,Latham (James)
BVXP,Bioventix
AERS,Aquila European Renewables
VTU,Vertu Motors
SUS,S & U
COST,Costain Group
IPF,International Personal Finance
LGRS,Loungers
TPFG,Property Franchise Group
RCN,Redcentric
FSTA,Fuller Smith & Turner
MACF,Macfarlane Group
CPI,Capita
ADIG,abrdn Diversified Income & Growth
KCT,Kin and Carta
SAA,M&C Saatchi
RCH,Reach
MTRO,Metro Bank Holdings
BGLP,Blackstone Loan Financing Ltd
SREI,Schroder Real Estate Investment Trust Ltd
TSTL,Tristel
FJV,Fidelity Japan Trust
OXB,Oxford BioMedica
FTV,Foresight VCT
SFR,Severfield
BRCK,Brickability Group
BMD,Baronsmead Second Venture Trust
ECOR,Ecora Resources
THS,Tharisa
FCH,Funding Circle Holdings
JLP,Jubilee Metals Group
IAT,Invesco Asia Trust
KEYS,Keystone Law Group
EGL,Ecofin Global Utilities And Infrastructure Trust
SMIF,TwentyFour Select Monthly Income Fund Ltd
PEMB,Pembroke VCT B
JMF,JPMorgan Mid Cap Investment Trust
API,Abrdn Property Income Trust Ltd
GYM,The Gym Group
BVT,Baronsmead Venture Trust
MCB,McBride
TUNE,Focusrite
SCP,Schroder UK Mid Cap Fund
GTE,Gran Tierra Energy Inc
SAAS,Microlise Group
HVO,Hvivo
APH,Alliance Pharma
SCF,Schroder Income Growth Fund
HSW,Hostelworld Group
SAG,Science Group
CAPD,Capital Ltd
OIT,Odyssean Investment Trust
BPM,BP Marsh & Partners
ADVT,AdvancedAdvT Ltd
ARR,Aurora Investment Trust
SOM,Somero Enterprises Inc
HSP,Hargreaves Services
DGI9,Digital 9 Infrastructure
ZTF,Zotefoams
AJOT,AVI Japan Opportunity Trust
AUGM,Augmentum Fintech
TMO,Time Out Group
HAT,H&T Group
JCGI,JPMorgan China Growth & Income
MARS,Marston's
MTU,Montanaro UK Smaller Companies Inv Tr
ACIC,Abrdn China Investment Company Ltd
APTD,Aptitude Software Group
ARBB,Arbuthnot Banking Group
SLP,Sylvania Platinum Ltd
SEE,Seeing Machines Ltd
BEG,Begbies Traynor Group
JZCP,JZ Capital Partners Ltd
JSGI,Jpmorgan Japan Small Cap Growth & Income
SRAD,Stelrad Group
CMCL,Caledonia Mining Corp
DLAR,De La Rue
FOXT,Foxtons Group
CLIG,City of London Investment Group
OIG,Oryx International Growth Fund Ltd
SAGA,Saga
TIGT,Troy Income & Growth Trust
CGS,Castings
LTI,Lindsell Train Investment Trust
KETL,Strix Group
BSC,British Smaller Companies VCT 2
SEC,Strategic Equity Capital
GTLY,Gateley (Holdings)
VTAS,Volta Finance Ltd
NXR,Norcros
CNE,Capricorn Energy
FTF,Foresight Enterprise VCT
SOLI,Solid State
AVCT,Avacta Group
SHG,Shanta Gold Ltd
BRSA,BlackRock Sustainable American Income Trust
PVN,ProVen VCT
BASC,Brown Advisory US Smaller Companies
GPH,Global Ports Holding
I3E,i3 Energy
BERI,BlackRock Energy and Resources Income Trust
ECEL,Eurocell
LBG,LBG Media
JARA,JPMorgan Global Core Real Assets Ltd
IOM,Iomart Group
SVML,Sovereign Metals Ltd
PGOO,ProVen Growth & Income VCT
MERC,Mercia Asset Management
NET,Netcall
MMIT,Mobius Investment Trust
PU13,Puma VCT 13
PGHZ,PCGH ZDP
AEI,Abrdn Equity Income Trust
ASIT,Aberforth Split Level Income Trust
JSE,Jadestone Energy Inc
PPHC,Public Policy Holding Company Inc
IGC,India Capital Growth Fund Ltd
GHH,Gooch & Housego
EYE,Eagle Eye
ULTP,Ultimate Products
HHV,Hargreave Hale AIM VCT 1
BSE,Base Resources Ltd
SUP,Supreme
FSJ,Fisher (James) & Sons
AFC,AFC Energy
VSL,VPC Specialty Lending Investments
HEAD,Headlam Group
OMG,Oxford Metrics
KIST,Kistos Holdings
AEWU,AEW UK REIT
IPU,Invesco Perpetual UK Smaller Companies Investment Trust
LABS,Life Science Reit
GHT,Gresham Technologies
SSIT,Seraphim Space Investment Trust
PEEL,Peel Hunt Ltd
MSI,MS International
CVCG,CVC Income & Growth Ltd
PSDL,Phoenix Spree Deutschland Ltd
AXS,Accsys Technologies
AVG,Avingtrans
4basebio,FTSE AIM
AAEV,Albion Enterprise VCT
STB,Secure Trust Bank
AGY,Allergy Therapeutics
ALL,Atlantic Lithium Ltd
GEM,Gemfields Group Ltd
DORE,Downing Renewables & Infrastructure Trust
KPC,Keystone Positive Change Investment Trust
LIT,Litigation Capital Management Ltd
AQX,Aquis Exchange
PFC,Petrofac Ltd
ANCR,Animalcare Group
AADV,Albion Development VCT
MGCI,M&G Credit Income Investment Trust
SNWS,Smiths News
DUKE,Duke Capital Ltd
MAJE,Majedie Investments
CHH,Churchill China
AMAT,Amati AIM VCT
CCP,Celtic
GRX,Greenx Metals Ltd
CREO,Creo Medical Group
EKF,EKF Diagnostics Holdings
CAM,Camellia
CYN,CQS Natural Resources Growth & Income
SDY,Speedy Hire
ECK,Eckoh
EPWN,Epwin Group
VANQ,Vanquis Banking Group
MOTR,Motorpoint Group
ACRL,Accrol Group Holdings
WKOF,Weiss Korea Opportunity Fund Ltd
AATG,Albion Technology & General VCT
MVCT,Molten Ventures VCT
REC,Record
BGCG,Baillie Gifford China Growth Trust
RIII,Rights and Issues Inv Trust
CARR,Carr's Group
IGR,IG Design Group
HAN+HANA,Hansa Investment Company Ltd
NTN,Northern 3 VCT
BKS,Beeks Financial Cloud Group
HUW,Helios Underwriting
SPR,Springfield Properties
TRB,Tribal Group
ATS,Artemis Alpha Trust
NTV,Northern 2 VCT
FSF,Foresight Sustainable Forestry Company
RGL,Regional REIT Ltd
WJG,Watkin Jones
ROOF,Atrato Onsite Energy
BRLA,BlackRock Latin American Investment Trust
CAL,Capital & Regional
NVT,Northern Venture Trust
CDGP,Chapel Down Group
STVG,STV Group
IGV,Income and Growth VCT
MCT,Middlefield Canadian Income Trusts Investment Company PCC
MTL,Metals Exploration
FUM,Futura Medical
KGH,Knights Group Holdings
TRI,Trifast
SPSC,Spectra Systems Corp
SPSY,Spectra Systems Corp
DEVO,Devolver Digital Inc
PEBB,The Pebble Group
INOV,Schroders Capital Global Innovation Trust
NWF,NWF Group
TRR,Trident Royalties
TXP,Touchstone Exploration Inc
KAY,Kings Arms Yard VCT
NXQ,Nexteq
HEIT,Harmony Energy Income Trust
GMR,Gaming Realms
VNH,Vietnam Holding Ltd
PHAR,Pharos Energy
AET,Afentra
CHI+CHIB,Ct UK High Income Trust
RNO,Renold
PMI,Premier Miton Group
GR1T,Grit Real Estate Income Group Ltd
BGO,Bango
KOO,Kooth
THX,Thor Explorations Ltd
CHAR,Chariot Oil & Gas Ltd
MBH,Michelmersh Brick Holdings
SHRS,Shires Income
RESI,Residential Secure Income
SHOE,Shoe Zone
KOD,Kodal Minerals
MIX,Mobeus Income & Growth VCT
FARN,Faron Pharmaceuticals OY
BMS,Braemar
INDI,Indus Gas Ltd
WNWD,Windward Ltd
RMII,RM Infrastructure Income
UTL,UIL Ltd
SCLP,Scancell Holdings
XAR,Xaar
PCA,Palace Capital
MPAC,Mpac Group
DXRX,Diaceutics
RKH,Rockhopper Exploration
DPP,DP Poland
CLBS,Celebrus Technologies
REVB,Revolution Beauty Group
OSEC,Octopus AIM VCT 2
GOT,Global Opportunities Trust
CTO,TClarke
FOG,Falcon Oil & Gas Ltd
ARTL,Alpha Real Trust Ltd
TPT,Topps Tiles
SERE,Schroder European Real Estate Investment Trust Ltd
FDEV,Frontier Developments
BVC,BATM Advanced Communications Ltd
MCON,Mincon Group
MHN,Menhaden
NSI,New Star Investment Trust
HOT,Henderson Opportunities Trust
CRWN,Crown Place VCT
PDL,Petra Diamonds Ltd
WYN,Wynnstay Group
ELCO,Eleco
BKY,Berkeley Energia Ltd
MAV4,Maven Income & Growth VCT4
LORD,Lords Group Trading
CNC,Concurrent Technologies
MIGO,Migo Opportunities Trust
ANIC,Agronomics Ltd
ZPHR,Zephyr Energy
ATM,Andrada Mining Ltd
AVAP,Avation
TV1,Thames Ventures Vct 1
ANX,Anexo Group
MIG4,Mobeus Income & Growth 4 VCT
QTX,Quartix Holdings
CAU,Centaur Media
VIP,Value & Indexed Property Income Trust
AAZ,Anglo Asian Mining
SLE,San Leon Energy
GIFS,Gulf Investment Fund
MATE,JPMorgan Multi-Asset Trust
SBSI,Schroder Bsc Social Impact Trust
SDG,Sanderson Design Group
MRK,Marks Electrical Group
INSE,Inspired Energy
TRU,TruFin
AOM,ActiveOps
FTC,Filtronic
SFT,Software Circle
ACC,Access Intelligence
ARB,Argo Blockchain
FEN,Frenkel Topping Group
GCL,Geiger Counter Ltd
SPA,1Spatial Holdings
TENT,Triple Point Energy Transition
NEOA,New Energy One Acquisition Corporation
CBOX,Cake Box Holdings
BWNG,Brown (N) Group
HSD,Hansard Global
CASP,Caspian Sunrise
DWHT,Dewhurst
DWHA,Dewhurst
PRE,Pensana Rare Earths
TPV,Triple Point Venture VCT
MUL,Mulberry Group
BILN,Billington Holdings
AURA,Aura Energy Ltd
DIA,Dialight
EAH,Eco Animal Health Group
RBW,Rainbow Rare Earths Ltd
CEL,Celadon Pharmaceuticals
MANO,Manolete Partners
BEMO,Baring Emerging EMEA Opportunities
AEET,Aquila Energy Efficiency Trust
RFX,Ramsdens Holdings
ASAI,ASA International Group
SYS1,System1 Group
ALU,Alumasc Group
IGP,Intercede Group
RKW,Rockwood Strategic
MIG5,Maven Income & Growth VCT 5
FLO,Flowtech Fluidpower
CNS,Corero Network Security
AXL,Arrow Exploration Corp
SAV,Savannah Resources
HUM,Hummingbird Resources
AAVC,Albion Venture Capital Trust
RM,RM
TOWN,Town Centre Securities
GMAA,Gama Aviation
LDG,Logistics Development Group
CNR,Condor Gold
MIG1,Maven Income & Growth VCT
HGEN,Hydrogenone Capital Growth
EJFI,EJF Investments Ltd
88 Energy Ltd,FTSE AIM
RLE,Real Estate Investors
CRS,Crystal Amber Fund Ltd
TENG,Ten Lifestyle Group
PRD,Predator Oil & Gas Holdings
PREM,Premier African Minerals Ltd
SDI,SDI Group
CML,CML Microsystems
WATR,Water Intelligence
SBO,Schroder British Opportunities Trust
HSS,HSS Hire Group
MIG3,Maven Income & Growth VCT 3
HRN,Hornby
BSRT,Baker Steel Resources Trust Ltd
AIRE,Alternative Income REIT
SRT,SRT Marine Systems
AGFX,Argentex Group
EBQ,Ebiquity
ENW,Enwell Energy
RMMC,River And Mercantile UK Micro Cap Investment Co Ltd
SPEC,Inspecs Group
POLB,Poolbeg Pharma
CRTA,Cirata
CCT,Character Group
EMAN,Everyman Media Group
JEL,Jersey Electricity Company Ltd
PNS,Panther Securities
AFRK,Afarak Group
ETX,e-Therapeutics
VLG,Venture Life Group
JEMA,
UPL,Upland Resources Ltd
JOG,Jersey Oil and Gas
MVI,Marwyn Value Investors Ltd
PGH,Personal Group Holdings
CFX,Colefax Group
HE1,Helium One Global Ltd
CUSN,Cornish Metals Inc
SMJ,J Smart & Co Contractors
SRB,Serabi Gold
ZIOC,Zanaga Iron Ore Co Ltd
NCYT,Novacyt SA
LIV,Livermore Investments Group Ltd
IES,Invinity Energy Systems
CLX,Calnex Solutions
AEX,Aminex
ASTO,AssetCo
CIC,Conygar Investment Company
